length,origin_path,augmented
54079,/mnt/d/datasets/wham_noise/wham_noise/tr/40hc0201_1.3028_20pc0101_-1.3028.wav,False
59114,/mnt/d/datasets/wham_noise/wham_noise/tr/01oc0214_0.72509_017c021c_-0.72509.wav,False
61979,/mnt/d/datasets/wham_noise/wham_noise/tr/209c010p_2.3645_01vc020u_-2.3645.wav,False
62940,/mnt/d/datasets/wham_noise/wham_noise/tr/023c020y_1.663_40hc020s_-1.663.wav,False
65105,/mnt/d/datasets/wham_noise/wham_noise/tr/027o0319_0.54789_024c020l_-0.54789.wav,False
65986,/mnt/d/datasets/wham_noise/wham_noise/tr/20ic010c_2.1956_013c020y_-2.1956.wav,False
66290,/mnt/d/datasets/wham_noise/wham_noise/tr/40eo030u_0.76285_01ec021c_-0.76285.wav,False
66710,/mnt/d/datasets/wham_noise/wham_noise/tr/01qo0319_1.312_20cc010f_-1.312.wav,False
69295,/mnt/d/datasets/wham_noise/wham_noise/tr/01yc021a_0.39089_02dc020g_-0.39089.wav,False
69634,/mnt/d/datasets/wham_noise/wham_noise/tr/408c0219_0.75342_023c0218_-0.75342.wav,False
70580,/mnt/d/datasets/wham_noise/wham_noise/tr/01cc020m_1.4887_01sc0219_-1.4887.wav,False
71167,/mnt/d/datasets/wham_noise/wham_noise/tr/012c0202_2.2649_01nc020z_-2.2649.wav,False
71636,/mnt/d/datasets/wham_noise/wham_noise/tr/020c0217_0.70183_40go0306_-0.70183.wav,False
71680,/mnt/d/datasets/wham_noise/wham_noise/tr/20fc010b_0.64488_407c021i_-0.64488.wav,False
72893,/mnt/d/datasets/wham_noise/wham_noise/tr/028c0201_2.1216_409o030y_-2.1216.wav,False
73035,/mnt/d/datasets/wham_noise/wham_noise/tr/406o031d_0.87476_023c020q_-0.87476.wav,False
73490,/mnt/d/datasets/wham_noise/wham_noise/tr/01xo031b_0.36212_20ga010z_-0.36212.wav,False
73979,/mnt/d/datasets/wham_noise/wham_noise/tr/404a0114_0.093104_205c010j_-0.093104.wav,False
74190,/mnt/d/datasets/wham_noise/wham_noise/tr/20cc010c_1.6296_40ec020g_-1.6296.wav,False
74662,/mnt/d/datasets/wham_noise/wham_noise/tr/406c020q_2.0513_20sc010q_-2.0513.wav,False
74888,/mnt/d/datasets/wham_noise/wham_noise/tr/019o031a_0.27588_01vo030q_-0.27588.wav,False
75169,/mnt/d/datasets/wham_noise/wham_noise/tr/01zo0307_2.4943_029c020y_-2.4943.wav,False
75289,/mnt/d/datasets/wham_noise/wham_noise/tr/01yc020i_0.27685_20vo0107_-0.27685.wav,False
75289,/mnt/d/datasets/wham_noise/wham_noise/tr/20gc0109_0.23743_01yc020t_-0.23743.wav,False
75409,/mnt/d/datasets/wham_noise/wham_noise/tr/20ha0112_0.16442_01kc021c_-0.16442.wav,False
75787,/mnt/d/datasets/wham_noise/wham_noise/tr/20fa0113_1.5782_20oa010b_-1.5782.wav,False
75901,/mnt/d/datasets/wham_noise/wham_noise/tr/204a010g_0.084454_021c0215_-0.084454.wav,False
76494,/mnt/d/datasets/wham_noise/wham_noise/tr/408a010s_0.56205_029o031c_-0.56205.wav,False
76674,/mnt/d/datasets/wham_noise/wham_noise/tr/40mo0314_1.6839_20fa010y_-1.6839.wav,False
77068,/mnt/d/datasets/wham_noise/wham_noise/tr/01mc020h_1.9273_20hc010k_-1.9273.wav,False
